STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,tra_cov,Transport coverage,schedule,Type of schedule,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag)
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-01,,915017,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-02,,904516,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-03,,1097565,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-04,,1083126,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-05,,1212226,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-06,,1266498,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-07,,1443423,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-08,,1387596,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-09,,1331822,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-10,,1240539,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-11,,977403,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2016-12,,1034819,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2017-01,,969088,,,
dataflow,ESTAT:AVIA_PAOC(1.0),"Air passenger transport by type of schedule, transport coverage and country",M,Monthly,PAS,Passenger,PAS_CRD_DEP,Passengers carried (departures),TOTAL,Total transport,TOT,Total,AT,Austria,2017-02,,951293,,,
